User,Views,Duration,VID,Title
BreakingTrail,7835402,15:02,EF-oSVCCqzU,STUNG by a COW KILLER!
HOT97NY,177731,16:35,eJWS7JXLCBg,Gucci Mane Talks Life After JailDELIM_COMMA New AlbumDELIM_COMMA Collabs &amp; More With Funk Flex
N/A,1938673,4:49,AS39IssJIZE,3 Awesome Ideas
JimmyKimmelLive,1464649,3:05,JgQVj4iMm8Y,Celebrities Read Mean Tweets #10
SonyPictures,9044236,2:43,7BWWWQzTpNU,PASSENGERS - Official Trailer (HD)
LastWeekTonight,2074142,10:32,_kZsOISarzg,Refugee Crisis: Last Week Tonight with John Oliver (HBO)
LadyGagaVEVO,7783791,3:05,Xn599R0ZBwg,Lady Gaga - Perfect Illusion
NBCTheVoice,1723277,5:25,wkJrShaOaz0,The Voice 2016 Blind Audition - Billy Gilman: &quot;When We Were Young&quot;
N/A,3463475,3:01,nRp1CK_X_Yw,IMPORTANT - Save The Day
WendyWilliamsShow,1852462,11:45,OYVeHmbpx9s,The Game on Meek Mill &amp; The Kardashians
N/A,1989945,9:04,jiMUoVjQ5uI,First Lady Michelle Obama Does Her Best Barack Impression
TheEllenShow,734710,6:05,QnYyqL-kfsk,12-Year-Old &#39;AGT&#39; Winner Grace VanderWaal Performs!
CountryMusicAssoc,3742899,4:09,E2pAslx5az8,Forever Country: Artists of ThenDELIM_COMMA NowDELIM_COMMA and Forever | CMA
N/A,2407199,4:10,KkGVmN68ByU,Shawn Mendes - Mercy
CNN,1656505,0:47,YgCg7Q6KsXY,George Clooney reacts to Brangelina split
wearethesundayblues,4552498,1:46,GVN17U3Vg34,Do You Wanna Build A Wall? - Donald Trump (Frozen Parody)
MarkDice,613133,5:49,Gc4Mi4ocyDw,Trump&#39;s Sons Kill a Triceratops on Hunting Safari - Liberals BelieveDELIM_COMMA And They&#39;re Very Upset
TheYoungTurks,851549,10:41,nKxxlftcYyY,Angry Ivanka Trump Walks Out Of Cosmo Interview
N/A,6888690,27:51,OCabT_O0YSM,This Video Will Get Donald Trump Elected
N/A,1898979,5:02,FrmIzXXGUbY,SNL mocks ‘full-blown nutjob’ Trump supporter hilariously attempting to defend candidate’s awfulness
AndyRooney2001,448420,39:59,2kx_fy7BuvU,RACHEL MADDOW CUTS THROUGH BS WITH TRUMP CAMPAIGN MGR./STEPFORD WIFE
benalvino1860,5058660,7:03,V-UWA3vri1o,Hillary Clinton cried after Donald Trump Release Photos of her and Obama... Goes Viral.
N/A,290843,5:36,ykBC_L3rtX4,Can We Find ONE Trump Supporter on a Canadian Campus?
fox4now,626230,3:20,BButFsAikH8,Judge Judy Has Advice For Donald Trump
RealTime,1729759,13:08,maL6-l3DdHk,Bill Maher Spars with Trump Campaign Manager Kellyanne Conway | Real Time with Bill Maher (HBO)
latenight,7631764,1:14,u0BYqzdiuJc,Donald Trump Lets Jimmy Fallon Mess Up His Hair
TheYoungTurks,211859,9:53,qjH3Yz2IlUM,Trump Takes Lead In Crucial States
LateNightSeth,884336,9:44,cyBPoiRNpYY,A Closer Look: The Trump Foundation
N/A,184651,7:29,qF_eWNQcl9w,Ivanka Trump: &#39;My Father Can Be an Equal Opportunity Offender&#39;
ushadrons,4000902,1:27,SYoOPgeTMQc,David Letterman Exposes Donald Trump
N/A,889642,17:06,KNHqJ936DgA,Dick Gregory 2016   There will be no election donald trumpDELIM_COMMA hillary clintonDELIM_COMMA bernie sanders
latenight,1734353,4:01,0JDo66mk1gs,Would You Rather: Kevin Hart
JimmyKimmelLive,937638,3:25,KKlFYsfnLYc,Restaurant Servers Reveal What They Hate About Their Jobs #WhatIHate
ChrissyA1,5793015,10:24,8r-e2NDSTuE,George Carlin --- Religion is Bullshit
comedycentral,10202823,4:13,14WE3A0PwVs,Key &amp; Peele - Rap Album Confessions
PunkRobsSinema,1685930,5:11,5EZrOJLMyNk,Richard Pryor-$1.50 cocaine (Hilarious)
comedycentral,101367979,3:02,Dd7FixvoKBw,Key &amp; Peele - Substitute Teacher
TheEllenShow,11971477,4:38,HUs2nK1q1QM,Ellen Scares Jimmy Fallon
WeAllBeTV,365875,59:26,MKKfw1sS8g4,Play Time&#39;s Over 2016: New Dick Gregory (Full INterview)
RealRickeySmiley,2695288,5:22,vI0Wglyp2KM,Lil Darrl was on FIRST 48!!
LateNightSeth,362124,4:21,XcYmC-xTGoM,Lewis Black on Donald Trump and Election News Coverage
N/A,197495,1:58,hhH9WUlTZPo,Late Show&#39;s Celebrity Chat Line: 1-844-600-LATE
comedycentral,101367979,3:02,Dd7FixvoKBw,Key &amp; Peele - Substitute Teacher
comedycentral,12738625,4:35,izh-j8KUYjs,Key &amp; Peele - Awesome Hitler Story
comedycentral,29075632,4:18,5LGEiIL1__s,Key &amp; Peele - I Said Bitch
comedycentral,14726595,5:15,m1bLXk6UVts,Key &amp; Peele - Das Negros
comedycentral,37426390,3:32,gODZzSOelss,Key &amp; Peele - East/West College Bowl
comedycentral,9342912,5:45,kH6QJzmLYtw,Key &amp; Peele - Turbulence - Uncensored
comedycentral,27009948,4:17,fcbj8BBsWSA,Key &amp; Peele - Pizza Order
comedycentral,9514110,5:00,eiWIOKKuyGE,Key &amp; Peele - Prepared for Terries
comedycentral,24384328,1:27,18t5V3gvfa4,Key &amp; Peele - Mr. Nostrand&#39;s Big Mistake
comedycentral,8229942,4:31,2EtalOOS-eM,Key &amp; Peele - A Cappella - Uncensored
N/A,1089503,8:33,9ElnkWjenqA,The Daily Show - Donald Trump Tries to Woo Black Voters
comedycentral,75946,1:52,NVW_wyw-o_I,Tosh.0 - Lost Tweets of Skip Bayless
comedycentral,403327,2:29,OXlx-w7msP8,Hack Into Broad City - Body Dysmorphia
comedycentral,105248,18:20,zNlKR2wrGZU,This Is Not Happening – Sean Patton - Cumin - Uncensored
comedycentral,206712,18:27,cHjh6Dupolk,This Is Not Happening - Kurt Metzger - Jehovah&#39;s Witness Drama - Uncensored
corycotton,12558294,7:57,4o1PTcoZbKQ,Giant Nerf Trick Shots | Dude Perfect
corycotton,26761839,8:11,gm2_6DX_0Bw,World Record Edition | Dude Perfect
corycotton,22441100,6:44,DS0uPxZXI5Y,Marksman Trick Shots | Dude Perfect
corycotton,49530262,6:01,CACAmH4r1fw,Bowling Trick Shots | Dude Perfect
corycotton,9680316,6:42,dFLj3DeKT-E,Shotgun Trick Shots | Dude Perfect
corycotton,67880825,5:56,UtsfUAHkyWQ,Ping Pong Trick Shots 2 | Dude Perfect
corycotton,27223623,7:28,P8V_bx0L4RY,Water Bottle Flip Edition | Dude Perfect
corycotton,7840577,7:06,VuIKtnBMKKM,7 lb Burger Challenge | The Dude Perfect Show
corycotton,15228318,6:56,Gq59egL20dg,Blitzball Trick Shots 2 | Dude Perfect
corycotton,8977799,7:20,jC9l0_NClrY,DP vs NFL Battle | Dude Perfect
corycotton,42352783,5:28,0gWxHFMog9w,Stereotypes: Pickup Basketball
corycotton,14972700,7:50,Gql1yOgfcsk,iPhone Game Battle | Dude Perfect 2
corycotton,8309846,4:02,rhMfYKzaY4U,Exploding Eggs | Dude Perfect
corycotton,8699321,3:11,WaF2csswoB0,Wipeout | Part 1 | Dude Perfect
corycotton,6532666,7:54,CAUO3YGvqnU,Endless Ducker Battle | Dude Perfect
SaturdayNightLive,3567347,5:05,m6uvv1aS5_I,Teacher Trial with Ronda Rousey - SNL
SaturdayNightLive,4252319,4:51,f8PXvqYpGCM,This Is How I Talk - SNL
SaturdayNightLive,627995,2:14,y_7uw0LoZqs,Weekend Update: Trumpémon GO - SNL
SaturdayNightLive,16716243,8:48,ImaYMoTi2g8,Celebrity Jeopardy - SNL 40th Anniversary Special
SaturdayNightLive,18381802,4:51,FaOSCASqLsE,Star Wars Undercover Boss: Starkiller Base - SNL
SaturdayNightLive,4095039,5:07,MJEAGd1bQuc,Meet Your Second Wife - SNL
SaturdayNightLive,6429612,2:46,3MQeexi0FPU,Drake&#39;s Beef - SNL
SaturdayNightLive,14047295,5:29,j7uBph38kXo,Tidal - SNL
SaturdayNightLive,2368471,5:56,0EqINqnEa-Y,New Girlfriend - SNL
SaturdayNightLive,17172565,5:47,PfPdYYsEfAE,Close Encounter - SNL
SaturdayNightLive,461294,5:25,5D1paXvQae8,Cut for Time: Bad News Bears (Russell Crowe) - SNL
SaturdayNightLive,533647,12:02,zdagdK0O0GM,Weekend Update at the RNC
SaturdayNightLive,2649380,6:35,HRqZhJcae3M,Hillary &amp; Bernie Cold Open - SNL
SaturdayNightLive,1933042,3:39,Ie6LpKOJVf0,Farewell Mr. Bunting - SNL
SaturdayNightLive,367075,10:56,2pd8JcBYevQ,Weekend Update at the DNC - SNL
WatchMojo,580264,11:48,6KdgjVHjS84,Top 10 Scariest Giant Creatures
WatchMojo,2275189,15:04,5WWvDbQC0zY,Another Top 10 Best Celebrity Voice Actor Performances
WatchMojo,1425562,12:43,-wBBs-P81xA,Top 10 Heroes Who Kill More than the Villains Do
WatchMojo,25860,10:32,jS7tDVP94yY,Top 10 Well Deserved Punches to the Face in Anime
WatchMojo,453782,13:36,Zs44RBK-FcM,Top 10 Worst TV Characters of Great TV Shows
WatchMojo,686968,13:03,Ws3YYfMouyw,Top 10 Actors That Have Lost Their Mojo
WatchMojo,741630,13:20,IyxGabuD_aw,Top 10 Sequels You Didn’t Know Were Sequels
WatchMojo,960417,12:01,dq17Owldg2w,Top 10 Most Expensive Video Games Ever Made (w/ Timestamps)
WatchMojo,373627,11:20,5GBPVaim1eM,Top 10 Underrated Movies of the 1980s
WatchMojo,8913,14:23,hvwBX4GPVrA,Top 10 Face-Palming Product Recalls
WatchMojo,7079,6:53,kGR7cE8Nk78,Samsung Galaxy Note 7 Recall: 5 Vital Facts
WatchMojo,1463489,9:40,M1a9rmTZbqM,Batman VS. Superman
Filme,8015892,3:30,fVnBBjjjAnY,THOR 3: Ragnarok - Vacation Teaser Trailer (2017)
movieclipsTRAILERS,15089260,2:31,Tf4sa0BVJVw,Max Steel Official Trailer 1 (2016) - Superhero Movie
FilmIsNowEU,16849500,6:14,Q1JTjLiV3ls,SING | Sing for Gold in a new Spot [Family Animated Movie 2016]
movieclipsTRAILERS,4594247,1:49,r6FxROAHJH4,Underworld: Blood Wars Official Trailer 1 (2017) - Kate Beckinsale Movie
disneyanimation,8045440,2:35,LKFuXETZUsI,Moana Official Trailer
everyframeapainting,3630373,13:35,7vfqkvwW2fs,The Marvel Symphonic Universe
FocusFeatures,955242,2:23,juFmTNbFh8g,NOCTURNAL ANIMALS - Official Teaser Trailer - In Select Theaters November 18
DerRaizer97,15275924,11:23,AgvnGpHh7Bc,SAUSAGE PARTY All Trailer + Clips (2016)
FilmsActuTrailers,38643508,4:33,Y7uGHY-t80I,SING Trailer # 2  (Animation Blockbuster - 2016)
FilmTheorists,1381893,14:17,P4KBPaS-1PU,Film Theory: Why The Star Trek Federation is Fascist
N/A,820658,3:47,EFo8Wh_waj4,Hidden Gems On Netflix You Need To Watch
sonymusicindiaSME,19522955,2:59,vUCM_0evdQY,Ae Dil Hai Mushkil - Full Song Video | Karan Johar | AishwaryaDELIM_COMMA RanbirDELIM_COMMA Anushka | Pritam | Arijit
WarnerBrosPictures,8485883,2:04,mjKEXxO2KNE,Sully - Official Trailer [HD]
FlicksMovieTrailers,36181059,5:42,AMjMFbhyhwY,Finding Dory ALL MOVIE CLIPS - 2016 Pixar Animation
SmoshGames,731372,4:30,xV95TAqaemY,DEAD RISING (Honest Game Trailers)
